,id,primary_title,release_year
160,tt0026029,The 39 Steps,1935
161,tt0026056,Alice Adams,1935
162,tt0026071,Anna Karenina,1935
163,tt0026138,Bride of Frankenstein,1935
164,tt0026174,Captain Blood,1935
165,tt0026529,The Informer,1935
166,tt0026641,The Littlest Rebel,1935
167,tt0026663,Mad Love,1935
168,tt0026714,A Midsummer Night's Dream,1935
169,tt0026725,Les Misérables,1935
170,tt0026752,Mutiny on the Bounty,1935
171,tt0026778,A Night at the Opera,1935
172,tt0026942,Roberta,1935
173,tt0027075,A Tale of Two Cities,1935
174,tt0027125,Top Hat,1935
175,tt0027260,After the Thin Man,1936
176,tt0027527,Dimples,1936
177,tt0027532,Dodsworth,1936
178,tt0027545,Dracula's Daughter,1936
179,tt0027630,Follow the Fleet,1936
180,tt0027652,Fury,1936
181,tt0027698,The Great Ziegfeld,1936
182,tt0027884,Libeled Lady,1936
183,tt0027893,Little Lord Fauntleroy,1936
184,tt0027977,Modern Times,1936
185,tt0027996,Mr. Deeds Goes to Town,1936
186,tt0028010,My Man Godfrey,1936
187,tt0028096,The Petrified Forest,1936
188,tt0028167,Rembrandt,1936
189,tt0028203,Romeo and Juliet,1936
190,tt0028212,Sabotage,1936
191,tt0028216,San Francisco,1936
192,tt0028231,Secret Agent,1936
193,tt0028331,The Demon Barber of Fleet Street,1936
194,tt0028333,Swing Time,1936
195,tt0028346,Reefer Madness,1936
196,tt0028358,Things to Come,1936
197,tt0028597,The Awful Truth,1937
198,tt0028683,Camille,1936
199,tt0028691,Captains Courageous,1937
200,tt0028757,A Damsel in Distress,1937
201,tt0028772,A Day at the Races,1937
202,tt0028773,Dead End,1937
203,tt0028944,The Good Earth,1937
204,tt0028950,The Grand Illusion,1937
205,tt0028988,Heidi,1937
206,tt0029081,King Solomon's Mines,1937
207,tt0029146,The Life of Emile Zola,1937
208,tt0029162,Lost Horizon,1937
209,tt0029192,Make Way for Tomorrow,1937
210,tt0029284,My Favorite Wife,1940
211,tt0029322,Nothing Sacred,1937
212,tt0029440,The Prince and the Pauper,1937
213,tt0029442,The Prisoner of Zenda,1937
214,tt0029453,Pépé le Moko,1937
215,tt0029546,Shall We Dance,1937
216,tt0029583,Snow White and the Seven Dwarfs,1937
217,tt0029604,Stage Door,1937
218,tt0029606,A Star Is Born,1937
219,tt0029608,Stella Dallas,1937
220,tt0029682,Topper,1937
221,tt0029747,Way Out West,1937
222,tt0029808,You Only Live Once,1937
223,tt0029811,Young and Innocent,1937
224,tt0029843,The Adventures of Robin Hood,1938
225,tt0029850,Alexander Nevsky,1938
226,tt0029852,Alexander's Ragtime Band,1938
227,tt0029855,Algiers,1938
228,tt0029870,Angels with Dirty Faces,1938
229,tt0029942,Boys Town,1938
230,tt0029947,Bringing Up Baby,1938
231,tt0029957,La Bête Humaine,1938
232,tt0029992,A Christmas Carol,1938
233,tt0030241,Holiday,1938
234,tt0030287,Jezebel,1938
235,tt0030341,The Lady Vanishes,1938
236,tt0030637,Pygmalion,1938
237,tt0030643,Port of Shadows,1938
238,tt0030696,Room Service,1938
239,tt0030993,You Can't Take It with You,1938
240,tt0031022,The Adventures of Sherlock Holmes,1939
241,tt0031047,Another Thin Man,1939
