entity_id,img_url
nm0909825,"https://m.media-amazon.com/images/M/MV5BYWEwYzRmZjQtMzFhNS00MzFmLWJlNzAtYzUxODZmYzJmNzJhXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UY317_CR19,0,214,317_AL_.jpg"
nm0718201,"https://m.media-amazon.com/images/M/MV5BZTBiNWE3YjUtZmE0MC00ZDc0LWEyMjUtMTZkZGYxNmFiODNhXkEyXkFqcGdeQXVyNTUyMTMyMDg@._V1_UY317_CR0,0,214,317_AL_.jpg"
nm0002569,NONE
nm0376221,"https://m.media-amazon.com/images/M/MV5BN2Y0MGQxNDUtNzc1Ny00NjA3LTg3ZjEtYzI3ZTFkZDJlYjI5XkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_UY317_CR10,0,214,317_AL_.jpg"
nm0398464,NONE
nm0432216,"https://m.media-amazon.com/images/M/MV5BMTcwNzkyMTI5MF5BMl5BanBnXkFtZTYwODkxMTU2._V1_UY317_CR11,0,214,317_AL_.jpg"
nm0151606,"https://m.media-amazon.com/images/M/MV5BMTM1MTg1MDU4OF5BMl5BanBnXkFtZTYwOTkwNjI2._V1_UX214_CR0,0,214,317_AL_.jpg"
nm0480677,NONE
nm0781292,"https://m.media-amazon.com/images/M/MV5BMWU4MTA4YTEtZTAzMy00MmQ5LWI4ZjMtYmRkYTA2NjZjMTIzXkEyXkFqcGdeQXVyMTk2MzI2Ng@@._V1_UY317_CR1,0,214,317_AL_.jpg"
nm0783865,"https://m.media-amazon.com/images/M/MV5BMjAyMjgyNTAyMl5BMl5BanBnXkFtZTgwMDIxMjI1MzE@._V1_UX214_CR0,0,214,317_AL_.jpg"
nm0629243,"https://m.media-amazon.com/images/M/MV5BMzUwY2I5ZTAtZDJhZi00NjE2LTgzNzQtNTQ3ZTE1MzM0NGRjXkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_UY317_CR8,0,214,317_AL_.jpg"
nm0102643,"https://m.media-amazon.com/images/M/MV5BNWM2MDYyNTAtYjVlZi00NjNhLTkxYmMtNmE3YTFiZmUxZjNjXkEyXkFqcGdeQXVyMTcyODY2NDQ@._V1_UY317_CR20,0,214,317_AL_.jpg"
